Cost cache matrix +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M03 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M13 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M23 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B10.M33 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M00 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M20 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M30 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M01 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M11 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M21 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M31 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M02 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M12 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M22 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M32 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M03 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M00 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M13 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M23 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B20.M33 = 16.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M10 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M20 = 8.000000
O_.POETSHardwareOneBox.ocfg.LoneBox.B00.M00 -> O_.POETSHardwareOneBox.ocfg.LoneBox.B01.M30 = 8.000000
